Pixbuilder,2.2.0,2.1.4,2.1,2.0.1,2,1.3,1.2,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarr,2.4.0,2.3.0,2.2.1,2.1.3,2.1.2,2.1.1,1.3.0,1.2.5,1.2.3,1.2,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The LightzoneProject,4.1.5,4.1,4,3.9.2,3.9,3.8.5,3.8,3.7,3.6.1,3.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW PHOTO PROCESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPiccy,1.0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo Pos Pro,3.101,3.05,2,1.90.6,1.90.1,1.89.5,1.89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaintStar,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artweaver,5.1.3,4.5.4,3.1.6,2.06,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhotoPad,4.49,4.48,4.46,4.45,4.44,4.43,4.41,4.4,4.39,4.38,4.37,4.36,4.35,4.34,4.33,4.32,4.31,4.3,4.23,4.22,4.21,4.14,4.13,4.12,4.11,4.1,4.09,4.08,4.07,4.05,4.04,4.03,4,3.91,3.9,3.89,3.86,3.85,3.84,3.83,3.82,3.81,3.8,3.79,3.78,3.77,3.76,3.74,3.73,3.72,3.7,3.61,3.6,3.58,3.57,3.55,3.54,3.53,3.52,3.51,3.5,3.47,3.45,3.43,3.42,3.4,3.38,3.36,3.34,3.32,3.31,3.3,3.29,3.28,3.27,3.24,3.22,3.21,3.2,3.19,3.18,3.17,3.16,3.14,3.13,3.12,3.11,3.1,3.05,3.04,3.03,3.02,3.01,3
PIL,1.1.7
